loss,lr,train_dice,val_dice
1.2517691776156425,0.0001708571247280615,0.22610443514861842,0.42195910480595905
0.9848819226026535,0.0001005,0.5262396119161823,0.7806312018142951
0.797014020383358,3.014287527193853e-05,0.7345174736282423,0.7808652469116723
0.6499502062797546,1e-06,0.7741002747279999,0.7899796942787508
0.667273610830307,3.014287527193852e-05,0.7643723134050361,0.7899418324743692
0.652088176459074,0.00010050000000000002,0.7693404844647728,0.7942404998811424
0.5919337142258883,0.00017085712472806155,0.7890811442416812,0.79523305345579
0.5777687672525644,0.0002000000000000001,0.7931502032004047,0.8277048138395885
0.5738964788615704,0.00017085712472806157,0.7909168458382233,0.8495447121608556
0.5165416728705168,0.00010050000000000007,0.8136783234119398,0.8766218984748464
0.5156488586217165,3.014287527193862e-05,0.8226978117272177,0.8823850069028447
0.48754808492958546,1e-06,0.8248927606678231,0.8909253413886343
0.477426977828145,1.0095000000000033e-05,0.8328578600982811,0.8884990736412937
0.4813332762569189,1.018999999999998e-05,0.8311450567689335,0.8843093189384519
0.4458827078342438,1.028500000000001e-05,0.8432483061174931,0.878206628753976
0.5209303386509418,1.0379999999999958e-05,0.8111375155225942,0.8873842853917363
0.48737720772624016,1.047499999999999e-05,0.8285409753646135,0.8844528639900301
0.497658034786582,1.0570000000000022e-05,0.8231725070147706,0.8880078599086864
0.5164066385477781,1.066499999999997e-05,0.8196086251911145,0.884471039982062
0.533005328848958,1.0760000000000002e-05,0.8106583884885193,0.8837764221236747
0.5335618797689676,4.2824116139070415e-05,0.8129924041501218,0.8814351678454165
0.4725017212331295,2.5500000000000003e-05,0.8347265063976577,0.8772312612719605
0.4610690549015999,8.175883860929588e-06,0.8432304128130221,0.8893973295648907
0.46818889304995537,1e-06,0.8390266511143096,0.8938515659493256
0.44305187836289406,8.175883860929586e-06,0.845757357146974,0.8944979004062905
